"Te_riscPad"
"01-01-2011 - 31-12-2022"
"day";"time";"Totale Termico C+C1+D";"Temperatura Ambiente"
"01-01-2011";"00:00:00";"0.00";"0.00"
"01-01-2011";"01:00:00";"0.00";"0.00"
"01-01-2011";"02:00:00";"0.00";"0.00"
"01-01-2011";"03:00:00";"0.00";"0.00"
"01-01-2011";"04:00:00";"0.00";"0.00"
"01-01-2011";"05:00:00";"0.00";"0.00"
"01-01-2011";"06:00:00";"0.00";"0.00"
"01-01-2011";"07:00:00";"0.00";"0.00"
"01-01-2011";"08:00:00";"0.00";"0.00"
"01-01-2011";"09:00:00";"0.00";"0.00"
"01-01-2011";"10:00:00";"0.00";"0.00"
"01-01-2011";"11:00:00";"0.00";"0.00"
"01-01-2011";"12:00:00";"0.00";"0.00"
"01-01-2011";"13:00:00";"0.00";"0.00"
"01-01-2011";"14:00:00";"0.00";"0.00"
"01-01-2011";"15:00:00";"0.00";"0.00"
"01-01-2011";"16:00:00";"0.00";"0.00"
"01-01-2011";"17:00:00";"0.00";"0.00"
"01-01-2011";"18:00:00";"0.00";"0.00"
"01-01-2011";"19:00:00";"0.00";"0.00"
"01-01-2011";"20:00:00";"0.00";"0.00"
"01-01-2011";"21:00:00";"0.00";"0.00"
"01-01-2011";"22:00:00";"0.00";"0.00"
"01-01-2011";"23:00:00";"0.00";"0.00"
"02-01-2011";"00:00:00";"0.00";"0.00"
"02-01-2011";"01:00:00";"0.00";"0.00"
"02-01-2011";"02:00:00";"0.00";"0.00"
"02-01-2011";"03:00:00";"0.00";"0.00"
"02-01-2011";"04:00:00";"0.00";"0.00"
"02-01-2011";"05:00:00";"0.00";"0.00"
"02-01-2011";"06:00:00";"0.00";"0.00"
"02-01-2011";"07:00:00";"0.00";"0.00"
"02-01-2011";"08:00:00";"0.00";"0.00"
"02-01-2011";"09:00:00";"0.00";"0.00"
"02-01-2011";"10:00:00";"0.00";"0.00"
"02-01-2011";"11:00:00";"0.00";"0.00"
"02-01-2011";"12:00:00";"0.00";"0.00"
"02-01-2011";"13:00:00";"0.00";"0.00"
"02-01-2011";"14:00:00";"0.00";"0.00"
"02-01-2011";"15:00:00";"0.00";"0.00"
"02-01-2011";"16:00:00";"0.00";"0.00"
"02-01-2011";"17:00:00";"0.00";"0.00"
"02-01-2011";"18:00:00";"0.00";"0.00"
"02-01-2011";"19:00:00";"0.00";"0.00"
"02-01-2011";"20:00:00";"0.00";"0.00"
"02-01-2011";"21:00:00";"0.00";"0.00"
"02-01-2011";"22:00:00";"0.00";"0.00"
"02-01-2011";"23:00:00";"0.00";"0.00"
"03-01-2011";"00:00:00";"0.00";"0.00"
"03-01-2011";"01:00:00";"0.00";"0.00"
"03-01-2011";"02:00:00";"0.00";"0.00"
"03-01-2011";"03:00:00";"0.00";"0.00"
"03-01-2011";"04:00:00";"0.00";"0.00"
"03-01-2011";"05:00:00";"0.00";"0.00"
"03-01-2011";"06:00:00";"0.00";"0.00"
"03-01-2011";"07:00:00";"0.00";"0.00"
"03-01-2011";"08:00:00";"0.00";"0.00"
"03-01-2011";"09:00:00";"0.00";"0.00"
"03-01-2011";"10:00:00";"0.00";"0.00"
"03-01-2011";"11:00:00";"0.00";"0.00"
"03-01-2011";"12:00:00";"0.00";"0.00"
"03-01-2011";"13:00:00";"0.00";"0.00"
"03-01-2011";"14:00:00";"0.00";"0.00"
"03-01-2011";"15:00:00";"0.00";"0.00"
"03-01-2011";"16:00:00";"0.00";"0.00"
"03-01-2011";"17:00:00";"0.00";"0.00"
"03-01-2011";"18:00:00";"0.00";"0.00"
"03-01-2011";"19:00:00";"0.00";"0.00"
"03-01-2011";"20:00:00";"0.00";"0.00"
"03-01-2011";"21:00:00";"0.00";"0.00"
"03-01-2011";"22:00:00";"0.00";"0.00"
"03-01-2011";"23:00:00";"0.00";"0.00"
"04-01-2011";"00:00:00";"0.00";"0.00"
"04-01-2011";"01:00:00";"0.00";"0.00"
"04-01-2011";"02:00:00";"0.00";"0.00"
"04-01-2011";"03:00:00";"0.00";"0.00"
"04-01-2011";"04:00:00";"0.00";"0.00"
"04-01-2011";"05:00:00";"0.00";"0.00"
"04-01-2011";"06:00:00";"0.00";"0.00"
"04-01-2011";"07:00:00";"0.00";"0.00"
"04-01-2011";"08:00:00";"0.00";"0.00"
"04-01-2011";"09:00:00";"0.00";"0.00"
"04-01-2011";"10:00:00";"0.00";"0.00"
"04-01-2011";"11:00:00";"0.00";"0.00"
"04-01-2011";"12:00:00";"0.00";"0.00"
"04-01-2011";"13:00:00";"0.00";"0.00"
"04-01-2011";"14:00:00";"0.00";"0.00"
"04-01-2011";"15:00:00";"0.00";"0.00"
"04-01-2011";"16:00:00";"0.00";"0.00"
"04-01-2011";"17:00:00";"0.00";"0.00"
"04-01-2011";"18:00:00";"0.00";"0.00"
"04-01-2011";"19:00:00";"0.00";"0.00"
"04-01-2011";"20:00:00";"0.00";"0.00"
"04-01-2011";"21:00:00";"0.00";"0.00"
"04-01-2011";"22:00:00";"0.00";"0.00"
"04-01-2011";"23:00:00";"0.00";"0.00"
"05-01-2011";"00:00:00";"0.00";"0.00"
"05-01-2011";"01:00:00";"0.00";"0.00"
"05-01-2011";"02:00:00";"0.00";"0.00"
"05-01-2011";"03:00:00";"0.00";"0.00"
"05-01-2011";"04:00:00";"0.00";"0.00"
"05-01-2011";"05:00:00";"0.00";"0.00"
"05-01-2011";"06:00:00";"0.00";"0.00"
"05-01-2011";"07:00:00";"0.00";"0.00"
"05-01-2011";"08:00:00";"0.00";"0.00"
"05-01-2011";"09:00:00";"0.00";"0.00"
"05-01-2011";"10:00:00";"0.00";"0.00"
"05-01-2011";"11:00:00";"0.00";"0.00"
"05-01-2011";"12:00:00";"0.00";"0.00"
"05-01-2011";"13:00:00";"0.00";"0.00"
"05-01-2011";"14:00:00";"0.00";"0.00"
"05-01-2011";"15:00:00";"0.00";"0.00"
"05-01-2011";"16:00:00";"0.00";"0.00"
"05-01-2011";"17:00:00";"0.00";"0.00"
"05-01-2011";"18:00:00";"0.00";"0.00"
"05-01-2011";"19:00:00";"0.00";"0.00"
"05-01-2011";"20:00:00";"0.00";"0.00"
"05-01-2011";"21:00:00";"0.00";"0.00"
"05-01-2011";"22:00:00";"0.00";"0.00"
"05-01-2011";"23:00:00";"0.00";"0.00"
"06-01-2011";"00:00:00";"0.00";"0.00"
"06-01-2011";"01:00:00";"0.00";"0.00"
"06-01-2011";"02:00:00";"0.00";"0.00"
"06-01-2011";"03:00:00";"0.00";"0.00"
"06-01-2011";"04:00:00";"0.00";"0.00"
